"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/01/2010","AQS","390030009","1","0.067","ppm","90","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/02/2010","AQS","390030009","1","0.062","ppm","74","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/03/2010","AQS","390030009","1","0.052","ppm","48","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/04/2010","AQS","390030009","1","0.058","ppm","61","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/05/2010","AQS","390030009","1","0.052","ppm","48","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/06/2010","AQS","390030009","1","0.057","ppm","58","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/07/2010","AQS","390030009","1","0.04","ppm","37","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/08/2010","AQS","390030009","1","0.033","ppm","31","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/09/2010","AQS","390030009","1","0.044","ppm","41","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/10/2010","AQS","390030009","1","0.062","ppm","74","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/11/2010","AQS","390030009","1","0.056","ppm","54","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/12/2010","AQS","390030009","1","0.054","ppm","50","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/13/2010","AQS","390030009","1","0.05","ppm","46","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/14/2010","AQS","390030009","1","0.064","ppm","80","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/15/2010","AQS","390030009","1","0.078","ppm","126","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/16/2010","AQS","390030009","1","0.038","ppm","35","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/17/2010","AQS","390030009","1","0.049","ppm","45","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/18/2010","AQS","390030009","1","0.034","ppm","31","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/19/2010","AQS","390030009","1","0.047","ppm","44","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/20/2010","AQS","390030009","1","0.045","ppm","42","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/21/2010","AQS","390030009","1","0.062","ppm","74","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/22/2010","AQS","390030009","1","0.052","ppm","48","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/23/2010","AQS","390030009","1","0.054","ppm","50","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/24/2010","AQS","390030009","1","0.04","ppm","37","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/25/2010","AQS","390030009","1","0.045","ppm","42","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/26/2010","AQS","390030009","1","0.045","ppm","42","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/27/2010","AQS","390030009","1","0.048","ppm","44","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/28/2010","AQS","390030009","1","0.047","ppm","44","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/29/2010","AQS","390030009","1","0.059","ppm","64","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"04/30/2010","AQS","390030009","1","0.054","ppm","50","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/01/2010","AQS","390030009","1","0.049","ppm","45","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/02/2010","AQS","390030009","1","0.036","ppm","33","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/03/2010","AQS","390030009","1","0.058","ppm","61","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
"05/04/2010","AQS","390030009","1","0.053","ppm","49","Lima","17","100.0000","44201","Ozone","30620","Lima, OH","39","Ohio","003","Allen","40.7709440009332","-84.0539"
