"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","420010001","1","0.038","ppm","35","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/02/2015","AQS","420010001","1","0.033","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/03/2015","AQS","420010001","1","0.016","ppm","15","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/04/2015","AQS","420010001","1","0.026","ppm","24","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/05/2015","AQS","420010001","1","0.035","ppm","32","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/06/2015","AQS","420010001","1","0.034","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/07/2015","AQS","420010001","1","0.035","ppm","32","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/08/2015","AQS","420010001","1","0.035","ppm","32","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/09/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/10/2015","AQS","420010001","1","0.035","ppm","32","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/11/2015","AQS","420010001","1","0.031","ppm","29","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/12/2015","AQS","420010001","1","0.03","ppm","28","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/13/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/14/2015","AQS","420010001","1","0.019","ppm","18","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/15/2015","AQS","420010001","1","0.028","ppm","26","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/16/2015","AQS","420010001","1","0.037","ppm","34","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/17/2015","AQS","420010001","1","0.032","ppm","30","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/18/2015","AQS","420010001","1","0.033","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/19/2015","AQS","420010001","1","0.035","ppm","32","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/20/2015","AQS","420010001","1","0.023","ppm","21","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/21/2015","AQS","420010001","1","0.015","ppm","14","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/22/2015","AQS","420010001","1","0.027","ppm","25","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/23/2015","AQS","420010001","1","0.023","ppm","21","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/24/2015","AQS","420010001","1","0.031","ppm","29","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/25/2015","AQS","420010001","1","0.029","ppm","27","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/26/2015","AQS","420010001","1","0.033","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/27/2015","AQS","420010001","1","0.038","ppm","35","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/28/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/29/2015","AQS","420010001","1","0.031","ppm","29","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/30/2015","AQS","420010001","1","0.043","ppm","40","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"01/31/2015","AQS","420010001","1","0.042","ppm","39","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/01/2015","AQS","420010001","1","0.035","ppm","32","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/02/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/03/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/04/2015","AQS","420010001","1","0.03","ppm","28","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/05/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/06/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/07/2015","AQS","420010001","1","0.033","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/08/2015","AQS","420010001","1","0.02","ppm","19","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/09/2015","AQS","420010001","1","0.028","ppm","26","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/11/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/12/2015","AQS","420010001","1","0.038","ppm","35","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/13/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/14/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/15/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/16/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/17/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/18/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/19/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/20/2015","AQS","420010001","1","0.037","ppm","34","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/21/2015","AQS","420010001","1","0.033","ppm","31","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/22/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/23/2015","AQS","420010001","1","0.044","ppm","41","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"02/24/2015","AQS","420010001","1","0.038","ppm","35","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
