"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Percent","Butte County, California!!Estimate","Butte County, California!!Percent","Contra Costa County, California!!Estimate","Contra Costa County, California!!Percent","El Dorado County, California!!Estimate","El Dorado County, California!!Percent","Fresno County, California!!Estimate","Fresno County, California!!Percent","Humboldt County, California!!Estimate","Humboldt County, California!!Percent","Imperial County, California!!Estimate","Imperial County, California!!Percent","Kern County, California!!Estimate","Kern County, California!!Percent","Kings County, California!!Estimate","Kings County, California!!Percent","Lake County, California!!Estimate","Lake County, California!!Percent","Los Angeles County, California!!Estimate","Los Angeles County, California!!Percent","Madera County, California!!Estimate","Madera County, California!!Percent","Marin County, California!!Estimate","Marin County, California!!Percent","Mendocino County, California!!Estimate","Mendocino County, California!!Percent","Merced County, California!!Estimate","Merced County, California!!Percent","Monterey County, California!!Estimate","Monterey County, California!!Percent","Napa County, California!!Estimate","Napa County, California!!Percent","Nevada County, California!!Estimate","Nevada County, California!!Percent","Orange County, California!!Estimate","Orange County, California!!Percent","Placer County, California!!Estimate","Placer County, California!!Percent","Riverside County, California!!Estimate","Riverside County, California!!Percent","Sacramento County, California!!Estimate","Sacramento County, California!!Percent","San Bernardino County, California!!Estimate","San Bernardino County, California!!Percent","San Diego County, California!!Estimate","San Diego County, California!!Percent","San Francisco County, California!!Estimate","San Francisco County, California!!Percent","San Joaquin County, California!!Estimate","San Joaquin County, California!!Percent","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Percent","San Mateo County, California!!Estimate","San Mateo County, California!!Percent","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Percent","Santa Clara County, California!!Estimate","Santa Clara County, California!!Percent","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Percent","Shasta County, California!!Estimate","Shasta County, California!!Percent","Solano County, California!!Estimate","Solano County, California!!Percent","Sonoma County, California!!Estimate","Sonoma County, California!!Percent","Stanislaus County, California!!Estimate","Stanislaus County, California!!Percent","Sutter County, California!!Estimate","Sutter County, California!!Percent","Tulare County, California!!Estimate","Tulare County, California!!Percent","Ventura County, California!!Estimate","Ventura County, California!!Percent","Yolo County, California!!Estimate","Yolo County, California!!Percent","Yuba County, California!!Estimate","Yuba County, California!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","1,663,190","1,663,190","229,294","229,294","1,147,439","1,147,439","188,987","188,987","989,255","989,255","136,754","136,754","182,830","182,830","893,119","893,119","150,101","150,101","64,246","64,246","10,163,507","10,163,507","156,890","156,890","260,955","260,955","88,018","88,018","272,673","272,673","437,907","437,907","140,973","140,973","99,814","99,814","3,190,400","3,190,400","386,166","386,166","2,423,266","2,423,266","1,530,615","1,530,615","2,157,404","2,157,404","3,337,685","3,337,685","884,363","884,363","745,424","745,424","283,405","283,405","771,410","771,410","448,150","448,150","1,938,153","1,938,153","275,897","275,897","179,921","179,921","445,458","445,458","504,217","504,217","547,899","547,899","96,648","96,648","464,493","464,493","854,223","854,223","219,116","219,116","77,031","77,031"
"        Male","818,161","49.2%","113,399","49.5%","560,717","48.9%","94,491","50.0%","493,189","49.9%","67,579","49.4%","93,017","50.9%","456,997","51.2%","82,876","55.2%","32,225","50.2%","5,009,571","49.3%","76,090","48.5%","127,518","48.9%","43,723","49.7%","138,191","50.7%","222,781","50.9%","69,965","49.6%","49,725","49.8%","1,575,092","49.4%","188,031","48.7%","1,206,077","49.8%","748,070","48.9%","1,073,651","49.8%","1,679,410","50.3%","450,429","50.9%","370,466","49.7%","143,319","50.6%","380,541","49.3%","224,368","50.1%","979,156","50.5%","137,241","49.7%","88,734","49.3%","221,435","49.7%","245,852","48.8%","272,365","49.7%","49,288","51.0%","232,455","50.0%","423,228","49.5%","106,261","48.5%","39,729","51.6%"
"        Female","845,029","50.8%","115,895","50.5%","586,722","51.1%","94,496","50.0%","496,066","50.1%","69,175","50.6%","89,813","49.1%","436,122","48.8%","67,225","44.8%","32,021","49.8%","5,153,936","50.7%","80,800","51.5%","133,437","51.1%","44,295","50.3%","134,482","49.3%","215,126","49.1%","71,008","50.4%","50,089","50.2%","1,615,308","50.6%","198,135","51.3%","1,217,189","50.2%","782,545","51.1%","1,083,753","50.2%","1,658,275","49.7%","433,934","49.1%","374,958","50.3%","140,086","49.4%","390,869","50.7%","223,782","49.9%","958,997","49.5%","138,656","50.3%","91,187","50.7%","224,023","50.3%","258,365","51.2%","275,534","50.3%","47,360","49.0%","232,038","50.0%","430,995","50.5%","112,855","51.5%","37,302","48.4%"
"        Sex ratio (males per 100 females)","96.8","(X)","97.8","(X)","95.6","(X)","100.0","(X)","99.4","(X)","97.7","(X)","103.6","(X)","104.8","(X)","123.3","(X)","100.6","(X)","97.2","(X)","94.2","(X)","95.6","(X)","98.7","(X)","102.8","(X)","103.6","(X)","98.5","(X)","99.3","(X)","97.5","(X)","94.9","(X)","99.1","(X)","95.6","(X)","99.1","(X)","101.3","(X)","103.8","(X)","98.8","(X)","102.3","(X)","97.4","(X)","100.3","(X)","102.1","(X)","99.0","(X)","97.3","(X)","98.8","(X)","95.2","(X)","98.8","(X)","104.1","(X)","100.2","(X)","98.2","(X)","94.2","(X)","106.5","(X)"
"    Under 5 years","97,510","5.9%","12,387","5.4%","65,195","5.7%","8,675","4.6%","77,903","7.9%","7,407","5.4%","15,444","8.4%","70,378","7.9%","11,683","7.8%","2,646","4.1%","617,979","6.1%","11,113","7.1%","12,127","4.6%","5,141","5.8%","21,350","7.8%","31,362","7.2%","7,035","5.0%","3,901","3.9%","187,161","5.9%","20,324","5.3%","158,849","6.6%","99,254","6.5%","154,036","7.1%","212,131","6.4%","39,846","4.5%","52,675","7.1%","13,091","4.6%","43,131","5.6%","28,062","6.3%","117,712","6.1%","13,608","4.9%","10,389","5.8%","26,770","6.0%","25,341","5.0%","39,266","7.2%","6,471","6.7%","38,472","8.3%","51,395","6.0%","12,282","5.6%","5,981","7.8%"
"    5 to 9 years","95,464","5.7%","14,888","6.5%","71,692","6.2%","9,547","5.1%","79,267","8.0%","7,419","5.4%","13,508","7.4%","74,619","8.4%","11,068","7.4%","4,364","6.8%","594,917","5.9%","12,037","7.7%","15,685","6.0%","5,428","6.2%","21,753","8.0%","32,088","7.3%","7,400","5.2%","5,194","5.2%","186,337","5.8%","25,470","6.6%","165,518","6.8%","104,808","6.8%","156,269","7.2%","192,124","5.8%","28,763","3.3%","58,014","7.8%","15,170","5.4%","47,211","6.1%","28,791","6.4%","114,968","5.9%","12,556","4.6%","9,267","5.2%","27,309","6.1%","30,047","6.0%","42,508","7.8%","6,439","6.7%","40,560","8.7%","52,356","6.1%","12,503","5.7%","6,496","8.4%"
"    10 to 14 years","96,591","5.8%","10,780","4.7%","77,717","6.8%","12,387","6.6%","80,217","8.1%","6,747","4.9%","15,334","8.4%","72,566","8.1%","11,675","7.8%","4,038","6.3%","631,286","6.2%","12,219","7.8%","14,543","5.6%","5,172","5.9%","23,504","8.6%","33,153","7.6%","9,564","6.8%","4,626","4.6%","207,297","6.5%","24,774","6.4%","183,414","7.6%","99,906","6.5%","163,387","7.6%","206,379","6.2%","33,359","3.8%","57,827","7.8%","13,711","4.8%","43,816","5.7%","26,997","6.0%","127,011","6.6%","18,574","6.7%","12,056","6.7%","28,217","6.3%","27,149","5.4%","41,062","7.5%","7,940","8.2%","41,739","9.0%","59,951","7.0%","13,597","6.2%","5,639","7.3%"
"    15 to 19 years","93,702","5.6%","15,843","6.9%","72,842","6.3%","11,543","6.1%","71,221","7.2%","9,957","7.3%","13,147","7.2%","67,405","7.5%","10,999","7.3%","2,980","4.6%","642,545","6.3%","11,089","7.1%","15,815","6.1%","4,738","5.4%","23,334","8.6%","31,303","7.1%","9,247","6.6%","5,337","5.3%","206,547","6.5%","23,897","6.2%","178,096","7.3%","94,415","6.2%","158,547","7.3%","207,629","6.2%","30,589","3.5%","54,801","7.4%","23,484","8.3%","40,505","5.3%","37,031","8.3%","114,277","5.9%","21,689","7.9%","11,702","6.5%","26,995","6.1%","30,049","6.0%","40,171","7.3%","6,231","6.4%","36,134","7.8%","57,427","6.7%","22,555","10.3%","4,873","6.3%"
"    20 to 24 years","101,870","6.1%","24,295","10.6%","68,882","6.0%","9,553","5.1%","72,114","7.3%","12,947","9.5%","14,143","7.7%","65,714","7.4%","11,553","7.7%","2,189","3.4%","721,661","7.1%","11,015","7.0%","11,150","4.3%","4,706","5.3%","20,679","7.6%","31,483","7.2%","9,113","6.5%","3,805","3.8%","215,720","6.8%","20,425","5.3%","169,777","7.0%","97,826","6.4%","167,212","7.8%","256,682","7.7%","49,281","5.6%","51,533","6.9%","28,938","10.2%","41,187","5.3%","50,132","11.2%","119,882","6.2%","28,063","10.2%","10,050","5.6%","29,530","6.6%","28,899","5.7%","37,741","6.9%","5,704","5.9%","33,580","7.2%","58,719","6.9%","30,023","13.7%","4,380","5.7%"
